"","Site","Well","Signal","Value","Experiment","Leaf"
"161","1;2","E1","yfp",2633,"AT5G37830","Set1_Leaf_E"
"162","1;2","E1","mTurquoise",142,"AT5G37830","Set1_Leaf_E"
"163","1;2","E1","mScarlet",324,"AT5G37830","Set1_Leaf_E"
"164","1;2","E1","YB_Ratio",18.5422535211268,"AT5G37830","Set1_Leaf_E"
"165","1;2","E2","yfp",2487,"AT5G37830","Set1_Leaf_E"
"166","1;2","E2","mTurquoise",199,"AT5G37830","Set1_Leaf_E"
"167","1;2","E2","mScarlet",345,"AT5G37830","Set1_Leaf_E"
"168","1;2","E2","YB_Ratio",12.4974874371859,"AT5G37830","Set1_Leaf_E"
"169","1;2","E3","yfp",3295,"AT3G07160","Set1_Leaf_E"
"170","1;2","E3","mTurquoise",93,"AT3G07160","Set1_Leaf_E"
"171","1;2","E3","mScarlet",352,"AT3G07160","Set1_Leaf_E"
"172","1;2","E3","YB_Ratio",35.4301075268817,"AT3G07160","Set1_Leaf_E"
"173","1;2","E4","yfp",1652,"AT3G07160","Set1_Leaf_E"
"174","1;2","E4","mTurquoise",42,"AT3G07160","Set1_Leaf_E"
"175","1;2","E4","mScarlet",253,"AT3G07160","Set1_Leaf_E"
"176","1;2","E4","YB_Ratio",39.3333333333333,"AT3G07160","Set1_Leaf_E"
"177","1;2","E5","yfp",1446,"AT1G54080","Set1_Leaf_E"
"178","1;2","E5","mTurquoise",36,"AT1G54080","Set1_Leaf_E"
"179","1;2","E5","mScarlet",292,"AT1G54080","Set1_Leaf_E"
"180","1;2","E5","YB_Ratio",40.1666666666667,"AT1G54080","Set1_Leaf_E"
"181","1;2","E6","yfp",1608,"AT1G54080","Set1_Leaf_E"
"182","1;2","E6","mTurquoise",37,"AT1G54080","Set1_Leaf_E"
"183","1;2","E6","mScarlet",304,"AT1G54080","Set1_Leaf_E"
"184","1;2","E6","YB_Ratio",43.4594594594595,"AT1G54080","Set1_Leaf_E"
"185","1;2","E7","yfp",1511,"Null_YFP","Set1_Leaf_E"
"186","1;2","E7","mTurquoise",250,"Null_YFP","Set1_Leaf_E"
"187","1;2","E7","mScarlet",258,"Null_YFP","Set1_Leaf_E"
"188","1;2","E7","YB_Ratio",6.044,"Null_YFP","Set1_Leaf_E"
"189","1;2","E8","yfp",1728,"Null_YFP","Set1_Leaf_E"
"190","1;2","E8","mTurquoise",285,"Null_YFP","Set1_Leaf_E"
"191","1;2","E8","mScarlet",280,"Null_YFP","Set1_Leaf_E"
"192","1;2","E8","YB_Ratio",6.06315789473684,"Null_YFP","Set1_Leaf_E"
"193","1;2","F1","yfp",2903,"AT5G37830","Set1_Leaf_F"
"194","1;2","F1","mTurquoise",143,"AT5G37830","Set1_Leaf_F"
"195","1;2","F1","mScarlet",433,"AT5G37830","Set1_Leaf_F"
"196","1;2","F1","YB_Ratio",20.3006993006993,"AT5G37830","Set1_Leaf_F"
"197","1;2","F2","yfp",3124,"AT5G37830","Set1_Leaf_F"
"198","1;2","F2","mTurquoise",161,"AT5G37830","Set1_Leaf_F"
"199","1;2","F2","mScarlet",349,"AT5G37830","Set1_Leaf_F"
"200","1;2","F2","YB_Ratio",19.4037267080745,"AT5G37830","Set1_Leaf_F"
"201","1;2","F3","yfp",3185,"AT3G07160","Set1_Leaf_F"
"202","1;2","F3","mTurquoise",113,"AT3G07160","Set1_Leaf_F"
