"","Site","Well","Signal","Value","Experiment","Leaf"
"134","1;2","C10","mTurquoise",38,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"135","1;2","C10","mScarlet",321,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"136","1;2","C10","YB_Ratio",41.3421052631579,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"137","1;2","C11","yfp",1516,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"138","1;2","C11","mTurquoise",43,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"139","1;2","C11","mScarlet",200,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"140","1;2","C11","YB_Ratio",35.2558139534884,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"141","1;2","C12","yfp",1646,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"142","1;2","C12","mTurquoise",47,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"143","1;2","C12","mScarlet",278,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"144","1;2","C12","YB_Ratio",35.0212765957447,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_F"
"145","1;2","D1","yfp",1747,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"146","1;2","D1","mTurquoise",51,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"147","1;2","D1","mScarlet",289,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"148","1;2","D1","YB_Ratio",34.2549019607843,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"149","1;2","D2","yfp",1601,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"150","1;2","D2","mTurquoise",70,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"151","1;2","D2","mScarlet",242,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"152","1;2","D2","YB_Ratio",22.8714285714286,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_A"
"153","1;2","D3","yfp",2254,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"154","1;2","D3","mTurquoise",213,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"155","1;2","D3","mScarlet",230,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"156","1;2","D3","YB_Ratio",10.5821596244131,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"157","1;2","D4","yfp",2564,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"158","1;2","D4","mTurquoise",287,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"159","1;2","D4","mScarlet",249,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"160","1;2","D4","YB_Ratio",8.93379790940767,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_B"
"161","1;2","D5","yfp",1828,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"162","1;2","D5","mTurquoise",98,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"163","1;2","D5","mScarlet",240,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"164","1;2","D5","YB_Ratio",18.6530612244898,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"165","1;2","D6","yfp",1921,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
"166","1;2","D6","mTurquoise",46,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r6","Set6_Leaf_C"
